Ba,123,253,354,134,146,456,265,162,,123
Ab,143,345,235,132,126,256,465,164,,126
De,153,235,243,134,146,264,256,165,,134
Ed,143,234,253,135,156,265,246,164,,135
Cf,153,354,234,132,126,246,456,165,,126
Fc,123,243,345,135,156,465,264,162,,123
Ef,152,123,134,145,465,364,263,256,,123
Fe,154,143,132,125,265,236,346,456,,125
Bd,153,132,124,145,465,264,236,356,,124
Db,154,142,123,135,365,263,246,456,,123
Ac,153,134,142,125,265,246,364,356,,125
Ca,152,124,143,135,365,346,264,256,,124
Be,152,135,345,254,246,364,163,126,,126
Eb,245,354,153,125,162,136,346,264,,125
Fa,235,153,145,254,246,164,136,263,,136
Af,245,154,135,253,236,163,146,264,,135
Cd,235,345,154,125,162,146,364,263,,125
Dc,152,145,354,253,236,346,164,126,,126
Ec,124,132,235,254,456,365,163,146,,124
Ce,245,253,123,142,164,136,356,465,,123
Ad,243,123,152,254,456,165,136,346,,123
Da,245,125,132,234,364,163,156,465,,125
Bf,243,235,125,142,164,156,365,346,,125
Fb,124,152,253,234,364,356,165,146,,124
Ae,354,145,124,234,263,162,156,365,,124
Ea,243,142,154,345,356,165,126,236,,126
Bc,143,154,245,234,263,256,165,136,,136
Cb,243,254,145,134,163,156,265,236,,134
Df,143,124,254,345,356,265,162,136,,124
Fd,354,245,142,134,163,126,256,365,,126