JHC,Ba,,Ef,Dc,Df,Ec,,Fc,Cf,Ac,Fb,,Db,Ae,Ed,De,,Ad,Eb,Af,Cb,,Ce,Cd,Fe,Fd,,,Ca,Bd,Bf,Da,Be,Ab,Ea,Fa,Bc
Ours,123.456,,123.465,126.435,124.356,124.653,,123.546,126.543,125.364,124.635,,123.564,124.536,135.624,134.625,,123.645,125.346,135.426,134.526,,123.654,125.436,125.463,126.354,,,124.365,124.563,125.634,125.643,126.345,126.453,126.534,136.425,136.524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ab,Ac,Ad,Ae,Af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,126.453,125.364,123.645,124.536,135.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ba,,Bc,Bd,Be,Bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,123.456,,136.524,124.563,126.345,125.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ca,Cb,,Cd,Ce,Cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,124.365,134.526,,125.436,123.654,126.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Da,Db,Dc,,De,Df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,125.643,123.564,126.435,,134.625,124.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ea,Eb,Ec,Ed,,Ef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126.534,125.346,124.653,135.624,,123.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fa,Fb,Fc,Fd,Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,136.425,124.635,123.546,126.354,125.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,