111.243,111,113,114,112,243,134,123,142
333.142,333,331,332,334,243,134,123,142
444.123,444,441,443,442,243,134,123,142
222.134,222,221,223,224,243,134,123,142
221.433,332,334,221,223,243,134,123,142
224.313,331,332,223,224,243,134,123,142
113.422,113,112,221,224,243,134,123,142
114.232,114,112,221,223,243,134,123,142
114.233,113,114,331,332,243,134,123,142
112.343,113,112,331,334,243,134,123,142
223.144,441,442,223,224,243,134,123,142
221.434,443,442,221,224,243,134,123,142
331.244,331,334,443,442,243,134,123,142
332.414,332,334,441,443,243,134,123,142
112.344,114,112,441,443,243,134,123,142
113.424,113,114,441,442,243,134,123,142
113.244,113,114,441,442,124,132,143,234
112.434,114,112,441,443,124,132,143,234
332.144,332,334,441,443,124,132,143,234
331.424,331,334,443,442,124,132,143,234
221.344,443,442,221,224,124,132,143,234
223.414,441,442,223,224,124,132,143,234
112.433,113,112,331,334,124,132,143,234
114.323,113,114,331,332,124,132,143,234
114.322,114,112,221,223,124,132,143,234
113.242,113,112,221,224,124,132,143,234
224.133,331,332,223,224,124,132,143,234
221.343,332,334,221,223,124,132,143,234
222.143,222,221,223,224,124,132,143,234
444.132,444,441,443,442,124,132,143,234
333.124,333,331,332,334,124,132,143,234
111.234,111,113,114,112,124,132,143,234
142.432,124,234,243,142,124,234,243,142
123.413,132,143,134,123,132,143,134,123
132.342,132,234,243,123,132,234,243,123
124.314,124,143,134,142,124,143,134,142
134.324,143,234,243,134,143,234,243,134
132.412,124,132,123,142,124,132,123,142
113.423,113,113,132,143,234,243,134,123
114.324,114,114,124,143,234,243,134,142
112.432,112,112,124,132,234,243,123,142
331.421,331,331,124,132,143,134,123,142
332.412,332,332,124,132,234,243,123,142
334.214,334,334,124,143,234,243,134,142
441.321,441,441,124,132,143,134,123,142
443.213,443,443,132,143,234,243,134,123
442.312,442,442,124,142,132,234,243,123
221.431,221,221,124,132,143,134,123,142
223.413,223,223,132,143,234,243,134,123
224.314,224,224,124,143,234,243,134,142
113.214,113,114,113,114,124,132,123,142
112.314,114,112,114,112,132,143,134,123
112.413,113,112,113,112,124,143,134,142
331.432,331,332,331,332,143,234,243,134
332.134,332,334,332,334,132,143,134,123
331.234,331,334,331,334,132,234,243,123
441.243,441,443,441,443,124,234,243,142
442.143,443,442,443,442,124,143,134,142
441.342,441,442,441,442,143,234,243,134
221.423,221,223,221,223,124,234,243,142
223.124,223,224,223,224,124,132,123,142
221.324,221,224,221,224,132,234,243,123
221.443,441,443,221,223,124,234,243,142
112.334,114,112,332,334,132,143,134,123
221.334,331,334,221,224,132,234,243,123
112.443,113,112,443,442,124,143,134,142
331.442,331,332,441,442,143,234,243,134
113.224,113,114,223,224,124,132,123,142